source_text,translated_text,context
Connection interrupted or server returned an error. Check Import Log before retrying.,Kết nối bị gián đoạn hoặc server trả lỗi. Hãy kiểm tra lại Log import trước khi chạy lại.,
Connection Test,Kiểm tra kết nối,
Create,Tạo,
Create Customer,Tạo Customer,
Create Employee,Tạo Employee,
Create Minimal Customer/Supplier/Employee,Tạo Customer/Supplier/Employee tối thiểu,
Create Missing Data & Re-run Script,Tạo dữ liệu thiếu & chạy script lại,
Create Missing Data & Re-run Script ({0} items),Tạo dữ liệu thiếu & chạy script lại ({0} mục),
Create Missing Items/Warehouses,Tạo Item/Kho thiếu,
Create Missing Masters,Tạo master thiếu,
Create Opening Balance Document,Tạo chứng từ số dư đầu kỳ,
Create Opening JE,Tạo Opening JE,
Create Opening Journal Entry,Tạo Opening Journal Entry,
Create Party,Tạo party,
Create Stock Reco,Tạo Stock Reco,
Create Supplier,Tạo Supplier,
Created,Đã tạo,
Created {0} records across {1} steps.,Đã tạo {0} bản ghi qua {1} bước.,
"Created {0}, skipped {1}, failed {2} rows across {3} steps.","Đã tạo {0}, bỏ qua {1}, lỗi {2} dòng qua {3} bước.",
"Creating minimal Customer, Supplier, and Employee records from analysis.","Hệ thống đang tạo Customer, Supplier và Employee tối thiểu từ danh sách đã phân tích.",
Creating Missing Masters,Đang tạo master còn thiếu,
Creating missing masters...,Đang tạo master còn thiếu...,
Creating Opening Journal Entry,Đang tạo Opening Journal Entry,
Creating Opening Journal Entry...,Đang tạo Opening Journal Entry...,
Creating records in DCNET in plan order.,Đang tạo bản ghi trong DCNET theo đúng thứ tự kế hoạch.,
Creating Stock Reconciliation to post stock and GL into stock accounts such as 1561.,Hệ thống đang tạo Stock Reconciliation để ghi tồn kho và GL vào tài khoản kho như 1561.,
Current DocType,DocType hiện tại,
Current File,Tệp đang xử lý,
Current Folder,Thư mục hiện tại,
Current Step,Bước hiện tại,
Customer Balance,Công nợ KH,
"Customer, Supplier, and Employee are no longer missing in the current analysis.","Customer, Supplier và Employee đang không còn thiếu theo kết quả phân tích hiện tại.",
"Customer, Supplier, and Employee are ready for opening import.","Customer, Supplier và Employee đã sẵn sàng cho import đầu kỳ.",
Dashboard,Bảng điều khiển,
Data,Dữ liệu,
Data Folder,Thư mục dữ liệu,
Data Import Draft,Bản nháp cũ,
Data migration tooling for ERPNext v16,Công cụ di chuyển dữ liệu cho ERPNext v16,
DCNET Migrate,Di chuyển dữ liệu,
Deduplicate by,Khử trùng theo,
Default,Mặc định,
Default Company,Company mặc định,
Default Posting Date,Ngày hạch toán mặc định,
Describe what AI analyzed incorrectly so it can adjust.,Mô tả chi tiết AI đang phân tích sai chỗ nào để AI điều chỉnh.,
Detail Ledger,Sổ chi tiết,
Difference,Chênh lệch,
Display Name,Tên gợi nhớ,
Document,Chứng từ,
Documents created from this screen,Các lần tạo chứng từ từ màn này,
Draft,Nháp,
Duplicate Check,Kiểm tra dữ liệu trùng,
Duplicate Check Status,Trạng thái đối chiếu trùng,
Duplicate in Source,Trùng trong file,
Duplicate Report JSON,JSON báo cáo trùng,
Duplicates,Trùng lặp,
Duplicates found - click for details,Đã phát hiện dữ liệu trùng - bấm để xem chi tiết,
Employee Balance,Công nợ NV,
Enable AI Analysis,Bật phân tích AI,
"Ensuring Item, UOM, and Warehouse are available.","Đang đảm bảo Item, UOM và Warehouse đủ để nhập tồn.",
ERPNext does not allow Journal Entry directly to Stock accounts; this step uses Stock Reconciliation.,ERPNext không cho Journal Entry ghi thẳng vào tài khoản Stock. Bước này dùng Stock Reconciliation để cập nhật Stock Ledger và tự sinh GL vào tài khoản kho như 1561; Temporary Opening chỉ là tài khoản đối ứng.,
Error,Lỗi,
Error Detail,Chi tiết lỗi,
Error Row,Dòng lỗi,
Error Rows,Dòng lỗi,
Error Type,Loại lỗi,
Error/skipped row count,Số dòng lỗi/bị bỏ qua,
Errors,Lỗi,
Exact Duplicate,Trùng chính xác,
Exact duplicate row count,Số dòng trùng chính xác,
Exact Duplicates,Trùng chính xác,
Exact duplicates found,Có dòng trùng chính xác,
Exact duplicates found. These rows will be skipped and reported during import.,Phát hiện dữ liệu trùng chính xác. Khi import các dòng này sẽ được bỏ qua và ghi vào báo cáo.,
Excel File Count,Số tệp Excel,
Excel file(s) selected,file Excel đã chọn,
Excel Files,Tệp Excel,
Excel Preview,Bản xem trước Excel,
Existing,Đã có sẵn,
Existing Record,Bản ghi đã có,
Expected accounting rows,Dòng hạch toán dự kiến,
Extra AI instructions before replanning,Yêu cầu thêm cho AI trước khi lập lại hướng xử lý,
Extra AI instructions if the plan needs changes,Yêu cầu thêm cho AI (nếu cần điều chỉnh kế hoạch),
Failed,Thất bại,
Failed Records,Bản ghi lỗi,
Feedback History,Lịch sử ý kiến,
Feedback History JSON,JSON lịch sử góp ý,
File,Tệp,
File analysis result saved.,Đã lưu kết quả phân tích file.,
File Imported,File đã import,
File List,Danh sách file,
File Name,Tên tệp,
File Path,Đường dẫn tệp,
File Pattern,Mẫu tên tệp,
File Value,Giá trị trong tệp,
file(s),file,
Files,Tệp,
files,file,
Files classified by AI/rules,Tổng file AI/rule đã phân loại,
Files Data,Dữ liệu tệp,
Files with fixed backend handlers,File có bước xử lý hardcode,
Fix Attempts,Số lần sửa đã thử,
"Fix the source Excel row, then reanalyze or re-import this file.","Sửa dòng lỗi trong file Excel nguồn, sau đó bấm Phân tích lại hoặc Import lại file này.",
Fix with AI,Sửa lỗi bằng AI,
Fixed,Đã sửa,
Fixed Assets,TSCĐ,
Folder or Excel file path for opening balances and migration documents.,Đường dẫn thư mục hoặc file Excel số dư/chứng từ chuyển đổi.,
Found in folder,Đã phát hiện trong thư mục,
Friendly name for this import batch in the list.,Tên dễ nhớ để nhận diện batch import trong danh sách.,
General balance files,File số dư tổng hợp,
Generated CSV File,Tệp CSV đã tạo,
GL into stock account,GL vào tài khoản kho,
Group Invoices,Gom hóa đơn,
Grouping purchase listing rows into Purchase Invoices.,Hệ thống đang gom bảng kê mua vào thành Purchase Invoice.,
Grouping sales listing rows into Sales Invoices.,Hệ thống đang gom bảng kê bán ra thành Sales Invoice.,
Header Row,Header dòng,
Home,Trang chủ,
Identified Files,File nhận diện,
Idle,Nhàn rỗi,
"If mapping already exists, the system uses cached mapping; AI only reruns when needed.","Nếu file đã phân tích đủ mapping, hệ thống dùng mapping đã lưu để dựng script; AI chỉ chạy khi cần lập lại kế hoạch.",
"If submitted immediately, ERPNext updates Stock Ledger and GL now.","Nếu Submit luôn, ERPNext sẽ cập nhật Stock Ledger và GL ngay.",
"If the plan is not correct, add instructions and reanalyze. Accept only when you approve this import plan.","Nếu kế hoạch chưa đúng, nhập chỉ dẫn rồi bấm 'Phân tích lại'. Chỉ bấm chấp nhận khi bạn đồng ý cho hệ thống import theo kế hoạch này.",
Ignored,Bỏ qua,
Import (Warning),Import (cảnh báo),
Import Auto,Import tự động,
Import Auto Home,Trang chủ Import,
Import Draft,Import draft,
Import finished but report could not be opened. Reload and use the row list button.,Import đã xong nhưng chưa mở được bảng report. Bấm Xem danh sách dòng sau khi reload.,
"Import finished, but UI did not update immediately. Reloading form.","Import đã chạy xong, nhưng giao diện không cập nhật được ngay. Đang tải lại form.",
Import is running as a background job. Keep this screen open for realtime results.,Import đang chạy bằng background job. Bạn có thể để màn hình này mở để nhận kết quả realtime.,
Import Log,Log import,
Import Mapping/Script,Mapping/script import,
Import Mapping/Script - {0},Mapping/script import - {0},
Import Not Complete,Import chưa hoàn tất,
Import Opening Purchase Invoices,Import hóa đơn mua vào đầu kỳ,
Import Opening Sales Invoices,Import hóa đơn bán ra đầu kỳ,
Import Opening Stock,Import tồn kho đầu kỳ,
Import Path,Đường dẫn import,
Import paused at an error row. AI is fixing it and will continue.,Import tạm dừng tại dòng lỗi. AI đang sửa dòng này rồi chạy tiếp.,
Import Paused at Error Row,Import tạm dừng tại dòng lỗi,
Import Purchase Invoices,Import hóa đơn mua vào,
Import Result,Kết quả import,
Import Results,Kết quả import,
Import row failed.,Dòng import bị lỗi.,
Import Row List,Danh sách dòng import,
Import Sales Invoices,Import hóa đơn bán ra,
Import script is running in the background...,Script import đang chạy trong nền...,
Import Summary JSON,JSON tổng hợp import,
Imported,Đã import,
Imported On,Thời điểm import,
Imported Records,Bản ghi đã import,
Importing,Đang import,
Importing into DCNET,Đang import vào DCNET,
Importing invoices...,Đang import hóa đơn...,
Importing Opening Stock,Đang import tồn kho đầu kỳ,
Importing opening stock...,Đang import tồn kho đầu kỳ...,
Importing Purchase Invoices,Đang import hóa đơn mua vào,
Importing Sales Invoices,Đang import hóa đơn bán ra,
Importing...,Đang import...,
Include Subfolders,Quét cả thư mục con,
Insert before step,Sẽ chèn trước bước,
Invalid upload path.,Đường dẫn upload không hợp lệ.,
Invoice import completed.,Đã hoàn tất import hóa đơn.,
Invoice listing files,File bảng kê hóa đơn,
Invoices,Hóa đơn,
invoices,hóa đơn,
JE Rows,Dòng JE,
Large files may take a few minutes; the server job continues.,File lớn có thể mất vài phút; job vẫn tiếp tục xử lý trong server.,
Last Test Result,Kết quả kiểm tra gần nhất,
Limit,Giới hạn,
List is limited to {0} rows per step to keep the screen responsive.,Danh sách đang giới hạn {0} dòng mỗi bước để màn hình không bị quá nặng.,
Local Rule,Rule local,
Manual Fix,Sửa tay,
Master Data,Master data,
Masters Created After Confirmation,Master sẽ được tạo sau khi xác nhận,
Masters/documents created from this flow,Master/chứng từ đã tạo từ luồng này,
Match Local Rules,Ghép rule local,
Matched Field,Trường khớp,
Merging Plan,Ghép kế hoạch,
Merging {0} dependency steps into the plan...,Đang ghép {0} bước dữ liệu phụ thuộc vào kế hoạch...,
Minimal records will be created after user confirmation,Sẽ tạo tối thiểu khi user xác nhận,
missing,thiếu,
Missing,Còn thiếu,
Missing Items,Item thiếu,
Missing Mapping,Mapping còn thiếu,
Missing Masters,Master còn thiếu,
Missing masters processed.,Đã xử lý tạo master còn thiếu.,
Missing Required Data,Thiếu dữ liệu bắt buộc,
Missing Warehouses,Kho thiếu,
Mode,Chế độ,
Monitoring,Theo dõi,
Needs Review,Cần kiểm tra,
Needs review,Cần kiểm tra lại,
New,Mới,
New AI Import,Tạo Import tự động,
new records,bản ghi mới,
No Changes,Không có thay đổi,
No duplicate records found in the database.,Không tìm thấy bản ghi nào trùng trong cơ sở dữ liệu.,
No duplicate rows to display.,Không có dòng trùng nào để hiển thị.,
No Excel Files,Không có file Excel,
No feedback for this file yet.,Chưa có ý kiến nào cho tệp này.,
No File Analysis Yet,Chưa có phân tích file,
No file was uploaded.,Chưa có file nào được upload.,
No Files Yet,Chưa có tệp nào,
No Missing Masters,Không còn master thiếu,
No preview data for this sheet.,Không có dữ liệu xem trước cho sheet này.,
No records to preview.,Không có bản ghi nào để xem trước.,
No Server Folders,Chưa có thư mục server,
none,không có,
Normalize,Chuẩn hóa,
"Normalizing amounts, dates, and master links.","Đang chuẩn hóa số tiền, ngày chứng từ và liên kết master data.",
Normalizing Script,Đang chuẩn hoá script,
Not Importable,Không đủ điều kiện import,
Not Run,Chưa chạy,
Not Set,Chưa nhập,
Offset,Đối ứng,
Old,Cũ,
"Only applies to folders. Example: *.xlsx,*.xls","Chỉ áp dụng khi đường dẫn là thư mục. Ví dụ: *.xlsx,*.xls",
Only applies when the path is a folder.,Chỉ áp dụng khi đường dẫn là thư mục.,
Only Excel files (.xlsx/.xls) can be uploaded.,Chỉ được upload file Excel (.xlsx/.xls).,
Only minimal data is created; users complete details later.,Chỉ tạo dữ liệu tối thiểu; user bổ sung chi tiết sau.,
Opening Balance Import,Import số dư đầu kỳ,
Opening Balance Import Plan,Kế hoạch import số dư đầu kỳ,
Opening Balances,Số dư đầu kỳ,
Opening Data Path,Đường dẫn dữ liệu đầu kỳ,
Opening Journal Entry created.,Đã tạo Opening Journal Entry.,
Opening preview...,Đang mở bản xem trước...,
Opening Stock,Tồn kho đầu kỳ,
Opening Stock Errors,Lỗi tồn kho đầu kỳ,
Opening Stock Reconciliation,Stock Reconciliation đầu kỳ,
Opening Stock Reconciliation created.,Đã tạo Stock Reconciliation tồn kho đầu kỳ.,
Order,Thứ tự,
Partial,Một phần,
Partial import. Error/skipped rows are in the import report.,"Import một phần. Các dòng lỗi/skip sẽ nằm trong report import, không kiểm tra trùng lại sau khi đã ghi dữ liệu.",
"Path to one Excel file, a folder, or multiple file/folder paths.","Có thể là: (a) đường dẫn tới 1 tệp .xlsx/.xls, (b) đường dẫn tới thư mục, hoặc (c) nhiều dòng - mỗi dòng là 1 tệp/thư mục.",
Pending,Chờ,
Plan,Kế hoạch,
Please choose one or more .xlsx/.xls files.,Vui lòng chọn một hoặc nhiều file .xlsx/.xls.,
Please enter feedback so AI knows what to adjust.,Vui lòng nhập ý kiến của bạn để AI biết cần điều chỉnh gì.,
Possible Duplicate Rows,Số dòng có khả năng trùng,
Post Stock and GL to Stock Account,Ghi tồn kho và GL vào tài khoản kho,
Posting Date,Ngày HT,
Preparing,Chuẩn bị,
Preparing Mapping/Script,Chuẩn bị mapping/script,
Preparing...,Đang chuẩn bị...,
Prevent Duplicates,Không tạo trùng,
Preview Errors,Lỗi preview,
Preview Excel File,Xem trước tệp Excel,
Processed Files,Tệp đã xử lý,
Processing,Đang xử lý,
Processing complete.,Đã xử lý xong.,
"Processing dependencies such as groups, UOMs, and addresses.","Đang xử lý các dữ liệu phụ thuộc như nhóm, đơn vị tính, địa chỉ.",
Processing not complete.,Xử lý chưa hoàn tất.,
Processing Result,Kết quả xử lý,
Processing...,Đang xử lý...,
Progress,Tiến độ,
Progress Message,Thông báo tiến trình,
Proposed Dependencies,Dữ liệu phụ thuộc đề xuất tạo,
Purchase,Mua vào,
Purchase Invoices,Hóa đơn mua vào,
purchase invoices,hóa đơn mua vào,
Purchase Listing,Bảng kê mua vào,
Python will reread Excel and process <b>{0}</b> records across <b>{1}</b> steps. Continue?,Python sẽ đọc lại Excel và xử lý <b>{0}</b> bản ghi qua <b>{1}</b> bước. Tiếp tục?,
Queued,Hàng đợi,
Queued. Progress will update here.,Đã đưa vào hàng đợi. Tiến độ sẽ cập nhật tại đây.,
Queuing...,Đang đưa vào hàng đợi...,
Re-run Script (no changes),Chạy script lại (không có sửa đổi),
Re-run Script ({0} changes),Chạy script lại ({0} thay đổi),
Read Files,Đọc file,
Read Listing,Đọc bảng kê,
Read Missing List,Đọc danh sách thiếu,
Read Samples,Đọc sample,
Read Stock Files,Đọc file tồn kho,
Reading Excel and importing into DCNET,Đang đọc Excel và import vào DCNET,
Reading Excel File,Đang đọc tệp Excel,
Reading File,Đọc file,
Reading rows marked as opening balances.,Đang đọc các dòng Diễn giải = Số dư đầu kỳ.,
Ready,Sẵn sàng,
Ready Handlers,Handler sẵn sàng,
Ready to import,Sẵn sàng import,
Ready to scan or analyze files,Sẵn sàng quét hoặc phân tích tệp,
Reanalysis request sent.,Đã gửi yêu cầu phân tích lại.,
Reanalyze,Phân tích lại,
Reanalyze File,Phân tích lại tệp,
Reanalyze this file,Phân tích lại tệp này,
Reanalyzing...,Đang phân tích lại...,
Reason,Lý do,
Reconcile,Đối chiếu,
records,bản ghi,
Records before the error row are kept. AI will only patch safe fields and continue.,"Các bản ghi đã import trước dòng lỗi đã được giữ lại. AI sẽ chỉ sửa field an toàn của dòng lỗi, rồi chạy tiếp.",
records in step,bản ghi trong bước,
records processed by Python,bản ghi Python sẽ xử lý,
Rejected (protected data),Từ chối (bảo vệ data),
Replace files in this Import Auto server folder,Thay thế file trong thư mục server của Import Auto này,
Rereading Excel for latest data.,Đang đọc lại Excel để lấy dữ liệu mới nhất.,
Result,Kết quả,
Review,Đối soát,
Review Excel File,Xem trước tệp Excel,
row,dòng,
Row,Dòng,
Rows,Dòng,
rows,dòng,
rows/sheet,dòng/sheet,
Run Import Script,Chạy script import vào DCNET,
Run the generated script; Python will read the full Excel file,Chạy script đã tạo khi phân tích; Python sẽ đọc toàn bộ file Excel,
Running,Đang chạy,
Running fixed Python handlers; AI does not write data.,"Đang chạy handler Python cố định, không dùng AI để ghi dữ liệu.",
Running...,Đang chạy...,
Safe,An toàn,
Safety,An toàn,
Sales,Bán ra,
Sales Invoices,Hóa đơn bán ra,
sales invoices,hóa đơn bán ra,
Sales Listing,Bảng kê bán ra,
Sales/Purchase Invoices,Hóa đơn bán/mua,
Save Review List,Lưu danh sách cần xác nhận,
Scan Excel Files,Quét tệp Excel,
Scan Files,Quét file,
Scan this folder after selecting,Quét thư mục này sau khi chọn,
"Scan, analyze, and import Excel files into DCNET","Quét, phân tích và nhập tệp Excel vào DCNET",
Scanned,Đã quét,
Scanning,Đang quét,
Scanning Dependencies,Quét phụ thuộc,
Scanning Excel files...,Đang quét tệp Excel...,
Scanning folder...,Đang quét thư mục...,
Scanning selected server folder...,Đang quét thư mục server đã chọn...,
Scanning uploaded Excel files...,Đang quét file Excel đã upload...,
Scope,Phạm vi,
Script Error,Lỗi script,
Select All,Chọn tất cả,
Select Server Folder,Chọn thư mục trên server,
Send to AI for Reanalysis,Gửi cho AI phân tích lại,
Sent to DCNET,Đã đẩy vào DCNET,
Server Folder,Thư mục server,
Server folder not found.,Không tìm thấy thư mục server.,
Server Import Folder,Thư mục import trên server,
Server-side folder used for scanning. Use Upload Files or Upload Folder to send Excel files from your computer.,Thư mục trên server dùng để quét file. Dùng Upload Files hoặc Upload Folder để gửi file Excel từ máy của bạn lên server.,
Sheet,Trang tính,
Show Less,Thu gọn,
Show More,Xem thêm,
Showing first {0}/{1} duplicate rows.,Hiển thị {0}/{1} dòng trùng đầu tiên.,
Showing first {0}/{1} records.,Hiển thị {0}/{1} bản ghi đầu tiên.,
Skipped,Bỏ qua,
Skipped Rows,Dòng bị bỏ qua,
Smart Plan Error,Lỗi kế hoạch,
Smart Plan Generated On,Thời điểm tạo kế hoạch,
Smart Plan JSON,JSON kế hoạch,
Smart Plan Status,Trạng thái kế hoạch,
Source,Nguồn,
Source Hash,Hash nguồn,
Source Rows,Dòng nguồn,
Starting analysis...,Bắt đầu phân tích...,
Status,Trạng thái,
Step,Bước,
Step {0},Bước {0},
steps,bước,
Steps are running sequentially,Các bước đang được thực thi tuần tự,
Stock,Tồn kho,
Stock Account,Tài khoản kho,
Stock Account Balance,Số dư TK kho,
Stock Account Difference,Lệch TK kho,
Stock Reconciliation creates GL to stock accounts; Temporary Opening is the offset.,"Stock Reconciliation sẽ tự tạo GL vào tài khoản kho, Temporary Opening chỉ là đối ứng.",
Stock Reconciliation rows,Dòng Stock Reconciliation,
Stock Value,Giá trị tồn,
"Store here, in site_config, or env. Do not commit secrets.","Lưu tại đây, site_config:import_auto_api_key, hoặc env IMPORT_AUTO_API_KEY. Không commit secret.",
Submit Immediately,Submit luôn,
Summarize,Tổng hợp,
Summary,Tổng hợp,
Summary JSON,JSON tổng hợp,
Supplier Balance,Công nợ NCC,
Table,Bảng,
Target DocType,DocType đích,
Test Invoice Limit,Giới hạn số hóa đơn test,
Test Row Limit,Giới hạn số dòng test,
The system groups rows by invoice/document number and creates invoice drafts using confirmed masters.,Hệ thống gom dòng theo số hóa đơn/chứng từ và dùng master đã xác nhận trước đó để ghi invoice draft vào DCNET.,
"The system rereads balance files, matches accounts/parties/banks, then creates an Opening Journal Entry.","Hệ thống đọc lại các file số dư, đối chiếu tài khoản/party/ngân hàng rồi tạo một Opening Journal Entry.",
These records are only enough for opening balance and invoice import; users complete details later.,Các bản ghi này chỉ đủ để import số dư đầu kỳ và hóa đơn. User sẽ bổ sung thông tin chi tiết sau.,
This file has no safe mapping or target DocType yet. Reanalyze it and give AI instructions first.,Tệp này chưa có ánh xạ an toàn hoặc chưa có DocType đích. Hãy bấm Phân tích lại và nhập hướng dẫn cho AI trước.,
"This file is already imported, so duplicate check is skipped.",File này đã import nên không kiểm tra trùng lại.,
This file is already imported. Use the report button to review errors/skips.,Tệp này đã import. Xem danh sách dòng bằng nút bên cạnh nếu có lỗi/skip.,
Time,Thời gian,
Timeout Seconds,Thời gian chờ (giây),
Total Credit,Tổng Có,
Total Debit,Tổng Nợ,
Total Files,Tổng số tệp,
Total Row,Dòng tổng/cộng,
Total Rows in File,Tổng dòng trong tệp,
Tree,Cấu trúc cây,
Tried {0} fixes without success. Please edit the Excel file or reanalyze.,"Đã thử sửa {0} lần, không thành công. Vui lòng chỉnh sửa file Excel hoặc bấm phân tích lại.",
Type,Loại,
"Uncheck records you do not want to create. Checked records are inserted first, then the original plan continues.","Bạn có thể bỏ tích những bản ghi không muốn tạo. Khi bấm xác nhận, các bản ghi được tích sẽ được insert TRƯỚC, sau đó plan gốc tiếp tục chạy.",
Unknown,Chưa rõ,
Unknown error.,Lỗi không xác định.,
Unresolved,Chưa xử lý được,
Unselect All,Bỏ chọn tất cả,
Update Result,Cập nhật kết quả,
Upload and Scan,Upload và quét,
Upload Excel Files,Upload file Excel,
"Upload Excel files first, then the server folder will appear here.","Upload file Excel trước, sau đó thư mục server sẽ xuất hiện ở đây.",
Upload Excel files to create a server folder.,Upload file Excel để tạo thư mục trên server.,
Upload Failed,Upload thất bại,
Upload Files,Upload file,
Upload Folder,Upload thư mục,
Uploaded {0} Excel file(s) to server folder.,Đã upload {0} file Excel lên thư mục server.,
Uploading Excel files,Đang upload file Excel,
Uploading Excel files to server...,Đang upload file Excel lên server...,
Use Folder,Dùng thư mục này,
Use Stock Reconciliation to update Stock Ledger and stock GL.,Nhập bằng Stock Reconciliation để lên Stock Ledger và GL tài khoản kho.,
Use the analysis mapping to build and run the import script.,Dùng mapping từ bước Phân tích để dựng script rồi import.,
Used,Có dùng,
User,Người dùng,
User Feedback,Ý kiến người dùng,
User feedback added,Đã có ý kiến từ người dùng,
Value,Giá trị,
