"_report","_báo cáo"
"{0} {1}: Account {2} does not belong to Company {3}","{0} {1}: Tài khoản {2} không thuộc về Công ty {3}"
"{0} {1}: Account {2} is a Group Account and group accounts cannot be used in transactions","{0} {1}: Tài khoản {2} là Tài khoản nhóm và tài khoản nhóm không thể được sử dụng trong các giao dịch"
"{0} {1}: Account {2} is inactive","{0} {1}: Tài khoản {2} không hoạt động"
"{0} {1}: Accounting Entry for {2} can only be made in currency: {3}","{0} {1}: định khoản kế toán cho {2} chỉ có thể được thực hiện bằng loại tiền tệ: {3}"
"{0} {1}: Cost Center {2} does not belong to Company {3}","{0} {1}: Trung tâm chi phí {2} không thuộc về Công ty {3}"
"{0} {1}: Cost Center {2} is a group cost center and group cost centers cannot be used in transactions","{0} {1}: Trung tâm chi phí {2} là một trung tâm chi phí nhóm và các trung tâm chi phí nhóm không thể được sử dụng trong các giao dịch"
"{0} {1}: Cost Center is mandatory for Item {2}","{0} {1}: Trung tâm chi phí là bắt buộc đối với mặt hàng {2}"
"{0} {1}: Cost Center is required for 'Profit and Loss' account {2}.","{0} {1}: Trung tâm chi phí là bắt buộc đối với tài khoản 'Lãi và lỗ' {2}."
"{0} {1}: Customer is required against Receivable account {2}","{0} {1}: Khách hàng được yêu cầu đối với tài khoản Phải thu {2}"
"{0} {1}: Either debit or credit amount is required for {2}","{0} {1}: Cần phải ghi nợ hoặc ghi có số tiền cho {2}"
"{0} {1}: Submitted Record cannot be deleted. You must {2} Cancel {3} it first.","{0} {1}: Không thể xóa Hồ sơ đã ghi sổ. Trước tiên, bạn phải {2} Hủy {3} hồ sơ đó."
"{0} {1}: Supplier is required against Payable account {2}","{0} {1}: Nhà cung cấp được yêu cầu đối với tài khoản Phải trả {2}"
"{0} <b>{1}</b> has submitted Assets. Remove Item <b>{2}</b> from table to continue.","{0} <b>{1}</b> đã ghi sổ Tài sản. Xóa mặt hàng <b>{2}</b> khỏi bảng để tiếp tục."
"{0} ${skip_list ? """" : type}","{0} ${skip_list ? """" : loại}"
"{0} ${type}","{0} ${loại}"
"{0} account is not of company {1}","{0} tài khoản không phải của công ty {1}"
"{0} account is not of type {1}","{0} tài khoản không phải là loại {1}"
"{0} Account not found against Customer {1}.","{0} Không tìm thấy tài khoản nào đối với Khách hàng {1}."
"{0} account not found while submitting purchase receipt","{0} tài khoản không được tìm thấy khi ghi sổ Phiếu nhập kho mua hàng"
"{0} Account: {1} ({2}) must be in either customer billing currency: {3} or Company default currency: {4}","{0} Tài khoản: {1} ({2}) phải sử dụng loại tiền tệ thanh toán của khách hàng: {3} hoặc loại tiền tệ mặc định của Công ty: {4}"
"{0} added","{0} đã thêm"
"{0} added {1} rows to {2}","{0} đã thêm {1} hàng vào {2}"
"{0} added 1 row to {1}","{0} đã thêm 1 hàng vào {1}"
"{0} against Bill {1} dated {2}","{0} đối với Dự luật {1} ngày {2}"
"{0} against Purchase Order {1}","{0} so với Lệnh mua hàng {1}"
"{0} against Sales Invoice {1}","{0} so với Hóa đơn bán hàng {1}"
"{0} against Sales Order {1}","{0} so với Lệnh bán hàng {1}"
"{0} already exists. Select another name","{0} đã tồn tại. Chọn tên khác"
"{0} already has a Parent Procedure {1}.","{0} đã có một Quy trình cha {1}."
"{0} already unsubscribed","{0} đã hủy đăng ký"
"{0} already unsubscribed for {1} {2}","{0} đã hủy đăng ký cho {1} {2}"
"{0} and {1}","{0} và {1}"
"{0} and {1} are mandatory","{0} và {1} là bắt buộc"
"{0} are currently {1}","{0} hiện đang là {1}"
"{0} are required","{0} là bắt buộc"
"{0} asset cannot be transferred","{0} tài sản không thể được chuyển nhượng"
"{0} assigned {1}: {2}","{0} đã giao {1}: {2}"
"{0} assigned a new task {1} {2} to you","{0} đã giao cho bạn một nhiệm vụ mới {1} {2}"
"{0} attached {1}","{0} đính kèm {1}"
"{0} Budget for Account {1} against {2} {3} is {4}. It is already exceeded by {5}.","{0} Ngân sách cho Tài khoản {1} so với {2} {3} là {4}. Ngân sách đã vượt quá {5}."
"{0} Budget for Account {1} against {2} {3} is {4}. It will be exceeded by {5}.","{0} Ngân sách cho Tài khoản {1} so với {2} {3} là {4}. Ngân sách sẽ bị vượt quá {5}."
"{0} Calendar","{0} Lịch"
"{0} can not be more than {1}","{0} không thể lớn hơn {1}"
"{0} can not be negative","{0} không thể là số âm"
"{0} cancelled this document","{0} đã hủy tài liệu này"
"{0} cancelled this document {1}","{0} đã hủy tài liệu này {1}"
"{0} cannot be amended because it is not cancelled. Please cancel the document before creating an amendment.","Không thể sửa đổi {0} vì nó chưa bị hủy. Vui lòng hủy tài liệu trước khi tạo sửa đổi."
"{0} cannot be changed with opened Opening Entries.","{0} không thể thay đổi với các mặt hàng mở đầu đã mở."
"{0} cannot be hidden and mandatory without any default value","{0} không thể bị ẩn và bắt buộc nếu không có giá trị mặc định"
"{0} cannot be used as a Main Cost Center because it has been used as child in Cost Center Allocation {1}","{0} không thể được sử dụng làm Trung tâm chi phí chính vì nó đã được sử dụng làm con trong Phân bổ trung tâm chi phí {1}"
"{0} cannot be zero","{0} không thể bằng không"
"{0} changed {1} to {2}","{0} đã thay đổi {1} thành {2}"
"{0} changed the value of {1}","{0} đã thay đổi giá trị của {1}"
"{0} changed the value of {1} {2}","{0} đã thay đổi giá trị của {1} {2}"
"{0} changed the values for {1}","{0} đã thay đổi các giá trị cho {1}"
"{0} changed the values for {1} {2}","{0} đã thay đổi các giá trị cho {1} {2}"
"{0} Chart","{0} Biểu đồ"
"{0} contains an invalid Fetch From expression, Fetch From can't be self-referential.","{0} chứa biểu thức Fetch From không hợp lệ, Fetch From không thể tự tham chiếu."
"{0} Coupon used are {1}. Allowed quantity is exhausted","{0} phiếu đã sử dụng là {1}. Số lượng được phép đã hết"
"{0} created","{0} đã tạo"
"{0} created successfully","{0} đã được tạo thành công"
"{0} created this","{0} đã tạo ra điều này"
"{0} created this document {1}","{0} đã tạo tài liệu này {1}"
"{0} currency must be same as company's default currency. Please select another account.","Tiền tệ của {0} phải giống với tiền tệ mặc định của công ty. Vui lòng chọn một tài khoản khác."
"{0} currently has a {1} Supplier Scorecard standing, and Purchase Orders to this supplier should be issued with caution.","{0} hiện có Bảng điểm nhà cung cấp {1} và các Lệnh mua cho nhà cung cấp này cần được phát hành một cách thận trọng."
"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.","{0} hiện có Bảng điểm nhà cung cấp {1} và cần thận trọng khi ghi sổ RFQ cho nhà cung cấp này."
"{0} d","{0} ngày"
"{0} Dashboard","{0} bảng thông tin quản lý"
"{0} days ago","{0} ngày trước"
"{0} Digest","{0} Tóm tắt"
"{0} does not belong to Company {1}","{0} không thuộc về Công ty {1}"
"{0} does not exist in row {1}","{0} không tồn tại trong hàng {1}"
"{0} entered twice {1} in Item Taxes","{0} đã nhập hai lần {1} trong Thuế mặt hàng"
"{0} entered twice in Item Tax","{0} đã nhập hai lần vào Thuế mặt hàng"
"{0} field cannot be set as unique in {1}, as there are non-unique existing values","Trường {0} không thể được đặt là duy nhất trong {1} vì có những giá trị hiện tại không duy nhất"
"{0} Fields","{0} Trường"
"{0} fields cannot contain backticks (`): {1}","{0} các trường không thể chứa dấu ngoặc ngược (`): {1}"
"{0} for {1}","{0} cho {1}"
"{0} format could not be determined from the values in this column. Defaulting to {1}.","Không thể xác định định dạng {0} từ các giá trị trong cột này. Mặc định là {1}."
"{0} from {1} to {2}","{0} từ {1} đến {2}"
"{0} from {1} to {2} in row #{3}","{0} từ {1} đến {2} trong hàng #{3}"
"{0} Google Calendar Events synced.","{0} Sự kiện Google Lịch đã được đồng bộ hóa."
"{0} Google Contacts synced.","{0} Danh bạ Google đã được đồng bộ hóa."
"{0} h","{0} giờ"
"{0} has already assigned default value for {1}.","{0} đã gán giá trị mặc định cho {1}."
"{0} has been submitted successfully","{0} đã được ghi sổ thành công"
"{0} has left the conversation in {1} {2}","{0} đã rời khỏi cuộc trò chuyện trong {1} {2}"
"{0} has Payment Term based allocation enabled. Select a Payment Term for Row #{1} in Payment References section","{0} đã bật phân bổ theo Kỳ hạn Thanh toán. Chọn Kỳ hạn Thanh toán cho Hàng #{1} trong phần Tham chiếu Thanh toán"
"{0} hours","{0} giờ"
"{0} hours ago","{0} giờ trước"
"{0} if you are not redirected within {1} seconds","{0} nếu bạn không được chuyển hướng trong vòng {1} giây"
"{0} in row {1}","{0} trong hàng {1}"
"{0} in row {1} cannot have both URL and child items","{0} trong hàng {1} không thể có cả URL và mặt hàng con"
"{0} is a mandatory Accounting Dimension. <br>Please set a value for {0} in Accounting Dimensions section.","{0} là Kích thước kế toán bắt buộc. <br>Vui lòng đặt giá trị cho {0} trong phần Kích thước kế toán."
"{0} is a mandatory field","{0} là trường bắt buộc"
"{0} is a not a valid zip file","{0} không phải là tệp zip hợp lệ"
"{0} is added multiple times on rows: {1}","{0} được thêm nhiều lần vào các hàng: {1}"
"{0} is already running for {1}","{0} đã chạy cho {1}"
"{0} is an invalid Data field.","{0} là trường Dữ liệu không hợp lệ."
"{0} is an invalid email address in 'Recipients'","{0} là địa chỉ email không hợp lệ trong 'Người nhận'"
"{0} is between {1} and {2}","{0} nằm giữa {1} và {2}"
"{0} is blocked so this transaction cannot proceed","{0} bị chặn nên giao dịch này không thể tiếp tục"
"{0} is currently {1}","{0} hiện tại là {1}"
"{0} is equal to {1}","{0} bằng {1}"
"{0} is greater than {1}","{0} lớn hơn {1}"
"{0} is greater than or equal to {1}","{0} lớn hơn hoặc bằng {1}"
"{0} is less than {1}","{0} nhỏ hơn {1}"
"{0} is less than or equal to {1}","{0} nhỏ hơn hoặc bằng {1}"
"{0} is like {1}","{0} giống như {1}"
"{0} is mandatory","{0} là bắt buộc"
"{0} is mandatory for account {1}","{0} là bắt buộc đối với tài khoản {1}"
"{0} is mandatory for Item {1}","{0} là bắt buộc đối với mặt hàng {1}"
"{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2}","{0} là bắt buộc. Có thể bản ghi tỷ giá hối đoái chưa được tạo cho {1} đến {2}"
"{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2}.","{0} là bắt buộc. Có thể bản ghi tỷ giá hối đoái chưa được tạo cho {1} đến {2}."
"{0} is not a child table of {1}","{0} không phải là bảng con của {1}"
"{0} is not a company bank account","{0} không phải là tài khoản ngân hàng của công ty"
"{0} is not a field of doctype {1}","{0} không phải là trường của doctype {1}"
"{0} is not a group node. Please select a group node as parent cost center","{0} không phải là nút nhóm. Vui lòng chọn một nút nhóm làm trung tâm chi phí chính."
"{0} is not a raw printing format.","{0} không phải là định dạng in thô."
"{0} is not a stock Item","{0} không phải là một mặt hàng có sẵn"
"{0} is not a valid Calendar. Redirecting to default Calendar.","{0} không phải là Lịch hợp lệ. Đang chuyển hướng đến Lịch mặc định."
"{0} is not a valid Cron expression.","{0} không phải là biểu thức Cron hợp lệ."
"{0} is not a valid DocType for Dynamic Link","{0} không phải là DocType hợp lệ cho Liên kết động"
"{0} is not a valid Email Address","{0} không phải là Địa chỉ Email hợp lệ"
"{0} is not a valid Google Sheets URL","{0} không phải là URL hợp lệ của Google Trang tính"
"{0} is not a valid ISO 3166 ALPHA-2 code.","{0} không phải là mã ISO 3166 ALPHA-2 hợp lệ."
"{0} is not a valid Name","{0} không phải là Tên hợp lệ"
"{0} is not a valid parent DocType for {1}","{0} không phải là DocType cha hợp lệ cho {1}"
"{0} is not a valid parentfield for {1}","{0} không phải là trường cha hợp lệ cho {1}"
"{0} is not a valid Phone Number","{0} không phải là số điện thoại hợp lệ"
"{0} is not a valid report format. Report format should one of the following {1}","{0} không phải là định dạng báo cáo hợp lệ. Định dạng báo cáo phải là một trong những định dạng sau {1}"
"{0} is not a valid Value for Attribute {1} of Item {2}.","{0} không phải là Giá trị hợp lệ cho Thuộc tính {1} của mặt hàng {2}."
"{0} is not a valid Workflow State. Please update your Workflow and try again.","{0} không phải là Trạng thái Quy trình làm việc hợp lệ. Vui lòng cập nhật Quy trình làm việc của bạn và thử lại."
"{0} is not a zip file","{0} không phải là tệp zip"
"{0} is not added in the table","{0} không được thêm vào bảng"
"{0} is not an allowed role for {1}","{0} không phải là vai trò được phép đối với {1}"
"{0} is not enabled in {1}","{0} không được kích hoạt trong {1}"
"{0} is not equal to {1}","{0} không bằng {1}"
"{0} is not like {1}","{0} không giống như {1}"
"{0} is not one of {1}","{0} không phải là một trong {1}"
"{0} is not running. Cannot trigger events for this Document","{0} không chạy. Không thể kích hoạt sự kiện cho Tài liệu này"
"{0} is not set","{0} không được thiết lập"
"{0} is not the default supplier for any items.","{0} không phải là nhà cung cấp mặc định cho bất kỳ mặt hàng nào."
"{0} is now default print format for {1} doctype","{0} hiện là định dạng in mặc định cho loại tài liệu {1}"
"{0} is on hold till {1}","{0} đang được giữ lại cho đến {1}"
"{0} is one of {1}","{0} là một trong {1}"
"{0} is open. Close the POS or cancel the existing POS Opening Entry to create a new POS Opening Entry.","{0} đang mở. Đóng POS hoặc hủy định khoản mở POS hiện có để tạo định khoản mở POS mới."
"{0} is required","{0} là bắt buộc"
"{0} is set","{0} được thiết lập"
"{0} is still in Draft. Please submit it before saving the Asset Repair.","{0} vẫn đang ở dạng Bản nháp. Vui lòng ghi sổ bản nháp trước khi lưu Bản sửa chữa Tài sản."
"{0} is still in Draft. Please submit it before saving the Asset.","{0} vẫn đang ở dạng Bản nháp. Vui lòng ghi sổ bản nháp trước khi lưu Tài sản."
"{0} is within {1}","{0} nằm trong {1}"
"{0} items in progress","{0} mặt hàng đang tiến hành"
"{0} items lost during process.","{0} mặt hàng bị mất trong quá trình xử lý."
"{0} items produced","{0} mặt hàng được sản xuất"
"{0} items selected","{0} mặt hàng đã chọn"
"{0} just impersonated as you. They gave this reason: {1}","{0} vừa mạo danh bạn. Họ đưa ra lý do này: {1}"
"{0} last edited this","{0} đã chỉnh sửa lần cuối"
"{0} Liked","{0} Đã thích"
"{0} List","{0} Danh sách"
"{0} List View Settings","{0} Cài đặt chế độ xem danh sách"
"{0} logged in","{0} đã đăng nhập"
"{0} logged out: {1}","{0} đã đăng xuất: {1}"
"{0} M","{0} tháng"
"{0} m","{0} phút"
"{0} Map","{0} Bản đồ"
"{0} mentioned you in a comment in {1} {2}","{0} đã đề cập đến bạn trong một bình luận trong {1} {2}"
"{0} minutes ago","{0} phút trước"
"{0} months ago","{0} tháng trước"
"{0} must be {1} {2}","{0} phải là {1} {2}"
"{0} must be after {1}","{0} phải sau {1}"
"{0} must be beginning with '{1}'","{0} phải bắt đầu bằng '{1}'"
"{0} must be equal to '{1}'","{0} phải bằng '{1}'"
"{0} must be negative in return document","{0} phải là số âm trong tài liệu trả về"
"{0} must be none of {1}","{0} không được là {1}"
"{0} must be one of {1}","{0} phải là một trong {1}"
"{0} must be set first","{0} phải được đặt trước"
"{0} must be unique","{0} phải là duy nhất"
"{0} must begin and end with a letter and can only contain letters, hyphen or underscore.","{0} phải bắt đầu và kết thúc bằng một chữ cái và chỉ có thể chứa chữ cái, dấu gạch ngang hoặc dấu gạch dưới."
"{0} Name","{0} Tên"
"{0} not a valid State","{0} không phải là một trạng thái hợp lệ"
"{0} not allowed to be renamed","{0} không được phép đổi tên"
"{0} Not allowed to change {1} after submission from {2} to {3}","{0} Không được phép thay đổi {1} sau khi ghi sổ từ {2} thành {3}"
"{0} not allowed to transact with {1}. Please change the Company or add the Company in the 'Allowed To Transact With'-Section in the Customer record.","{0} không được phép giao dịch với {1}. Vui lòng thay đổi Công ty hoặc thêm Công ty vào mặt hàng 'Được phép giao dịch với' trong hồ sơ Khách hàng."
"{0} not found","{0} không tìm thấy"
"{0} not found for item {1}","{0} không tìm thấy cho mặt hàng {1}"
"{0} Number {1} is already used in {2} {3}","{0} Số {1} đã được sử dụng trong {2} {3}"
"{0} of {1}","{0} trong số {1}"
"{0} of {1} ({2} rows with children)","{0} trong số {1} ({2} hàng có con)"
"{0} only.","{0} chỉ."
"{0} Operating Cost for operation {1}","{0} Chi phí vận hành cho hoạt động {1}"
"{0} Operations: {1}","{0} Hoạt động: {1}"
"{0} or {1}","{0} hoặc {1}"
"{0} parameter is invalid","{0} tham số không hợp lệ"
"{0} payment entries can not be filtered by {1}","{0} mặt hàng thanh toán không thể được lọc theo {1}"
"{0} qty of Item {1} is being received into Warehouse {2} with capacity {3}.","{0} số lượng Mặt hàng {1} đang được tiếp nhận vào Kho {2} với sức chứa {3}."
"{0} record deleted","{0} bản ghi đã xóa"
"{0} records are not automatically deleted.","{0} bản ghi không được tự động xóa."
"{0} records are retained for {1} days.","{0} hồ sơ được lưu giữ trong {1} ngày."
"{0} records deleted","{0} bản ghi đã xóa"
"{0} records will be exported","{0} bản ghi sẽ được xuất"
"{0} removed {1} rows from {2}","{0} đã xóa {1} hàng khỏi {2}"
"{0} removed 1 row from {1}","{0} đã xóa 1 hàng khỏi {1}"
"{0} removed attachment {1}","{0} đã xóa tệp đính kèm {1}"
"{0} removed their assignment.","{0} đã xóa bài tập của họ."
"{0} Report","{0} Báo cáo"
"{0} Reports","{0} Báo cáo"
"{0} Request for {1}","{0} Yêu cầu cho {1}"
"{0} Retain Sample is based on batch, please check Has Batch No to retain sample of item","{0} Giữ lại Biểu mẫu dựa trên lô, vui lòng kiểm tra Có số lô để giữ lại Biểu mẫu của mặt hàng"
"{0} role does not have permission on any doctype","{0} vai trò không có quyền trên bất kỳ loại tài liệu nào"
"{0} row #{1}:","{0} hàng #{1}:"
"{0} rows from {1}","{0} hàng từ {1}"
"{0} rows to {1}","{0} hàng đến {1}"
"{0} saved successfully","{0} đã lưu thành công"
"{0} self assigned this task: {1}","{0} tự giao nhiệm vụ này: {1}"
"{0} Settings","{0} Cài đặt"
"{0} shared a document {1} {2} with you","{0} đã chia sẻ một tài liệu {1} {2} với bạn"
"{0} shared this document with {1}","{0} đã chia sẻ tài liệu này với {1}"
"{0} shared this document with everyone","{0} đã chia sẻ tài liệu này với mọi người"
"{0} should be indexed because it's referred in dashboard connections","{0} phải được lập chỉ mặt hàng vì nó được tham chiếu trong các kết nối bảng thông tin quản lý"
"{0} should not be same as {1}","{0} không được giống với {1}"
"{0} submitted this document","{0} đã ghi sổ tài liệu này"
"{0} submitted this document {1}","{0} đã ghi sổ tài liệu này {1}"
"{0} subscribers added","{0} người đăng ký đã được thêm vào"
"{0} to {1}","{0} đến {1}"
"{0} to stop receiving emails of this type","{0} để ngừng nhận email loại này"
"{0} Transaction(s) Reconciled","{0} Giao dịch đã được đối chiếu"
"{0} Tree","{0} Cây"
"{0} un-shared this document with {1}","{0} đã hủy chia sẻ tài liệu này với {1}"
"{0} units are reserved for Item {1} in Warehouse {2}, please un-reserve the same to {3} the Stock Reconciliation.","{0} đơn vị được dành riêng cho Mặt hàng {1} trong Kho {2}, vui lòng hủy dành riêng cho {3} Đối chiếu kho."
"{0} units of {1} are required in {2} with the inventory dimension: {3} ({4}) on {5} {6} for {7} to complete the transaction.","{0} đơn vị {1} là bắt buộc trong {2} với kích thước hàng tồn kho: {3} ({4}) trên {5} {6} cho {7} để hoàn tất giao dịch."
"{0} units of {1} needed in {2} on {3} {4} for {5} to complete this transaction.","{0} đơn vị {1} cần thiết trong {2} vào {3} {4} cho {5} để hoàn tất giao dịch này."
"{0} units of {1} needed in {2} on {3} {4} to complete this transaction.","{0} đơn vị {1} cần thiết trong {2} vào {3} {4} để hoàn tất giao dịch này."
"{0} units of {1} needed in {2} to complete this transaction.","{0} đơn vị {1} cần thiết trong {2} để hoàn tất giao dịch này."
"{0} units of Item {1} is not available in any of the warehouses.","{0} đơn vị của Mặt hàng {1} không có sẵn trong bất kỳ kho hàng nào."
