"Recurring","Định kỳ"
"Due Date","Ngày đến hạn"
"Item Type","Loại"
"Amount","Số tiền"
"Is Prorated","Tính theo ngày"
"State","Trạng thái thanh toán"
"Sales Invoice","Hóa đơn bán hàng"
"Payment Entry","Phiếu thu"
"Suspend Contract","Tạm ngưng hợp đồng"
"Resume Contract","Kích hoạt lại hợp đồng"
"Generate Document","Xuất văn bản"
"Create PAKD","Tạo PAKD"
"Apply Template","Áp dụng mẫu"
"Contract has been cancelled","Hợp đồng đã bị huỷ"
"Acceptance date is required before submitting a contract","Ngày nghiệm thu là bắt buộc khi gửi duyệt hợp đồng"
"Contract must have at least 1 item","Hợp đồng phải có ít nhất 1 mục"
"Unit price must be greater than 0 for item '{0}'","Đơn giá phải lớn hơn 0 cho mục '{0}'"
"Quantity must be >= 1 for item '{0}'","Số lượng phải >= 1 cho mục '{0}'"
"Service {0} requires Recurring contract type","Dịch vụ {0} yêu cầu loại hợp đồng Định kỳ"
"Service {0} requires One-off contract type","Dịch vụ {0} yêu cầu loại hợp đồng Một lần"
"VTTB contract: item '{0}' must link to an ERPNext Item","Hợp đồng VTTB: mục '{0}' phải liên kết với mã hàng ERPNext"
"Credit note may be needed for: {0}","Có thể cần tạo hóa đơn điều chỉnh cho: {0}"
"Credit Note Alert","Cảnh báo hóa đơn điều chỉnh"
"Contract revised. New contract: {0}","Hợp đồng đã được sửa đổi. Hợp đồng mới: {0}"
"Cancelled periods: {0}","Các kỳ đã hủy: {0}"
"Income account not configured for company {0}","Tài khoản thu nhập chưa cấu hình cho công ty {0}"
"Cost center not configured for branch {0}","Cost center chưa cấu hình cho chi nhánh {0}"
"(empty)","(trống)"
"Outstanding Receivables by Contract","Công nợ phải thu theo hợp đồng"
"Contract Expiry Report","Báo cáo hợp đồng sắp hết hạn"
"Contract","Hợp đồng"
"Start Date","Ngày bắt đầu"
"Days Remaining","Số ngày còn lại"
"Contract Value","Giá trị HĐ"
"Active Contracts","Hợp đồng hoạt động"
"Total Monthly Revenue","Doanh thu tháng"
"Overdue Amount","Số tiền quá hạn"
"Contracts Expiring This Month","Hợp đồng hết hạn tháng này"
"Default Payment Terms","Điều khoản thanh toán mặc định"
"Default Rounding Mode","Chế độ làm tròn mặc định"
"Currency Display Unit","Đơn vị hiển thị tiền tệ"
"Overdue Grace Period (Days)","Số ngày gia hạn quá hạn"
"Proration Formula","Công thức tính theo ngày"
"days_in_month","Theo ngày trong tháng"
"fixed_30","Cố định 30 ngày"
"Expiry Notification (Days)","Số ngày cảnh báo hết hạn"
"Branch Cost Center Map","Bảng ánh xạ Chi nhánh - Trung tâm chi phí"
"Cost Center","Trung tâm chi phí"
"Bandwidth","Băng thông"
"SLA Restore Hours","SLA khôi phục (giờ)"
"Point A","Điểm đầu"
"Point B","Điểm cuối"
"Customer Address","Địa chỉ khách hàng"
"Customer Phone","Điện thoại"
"Customer Fax","Fax"
"Customer Email","Email"
"Customer Tax ID","Mã số thuế"
"Customer Representative","Người đại diện"
"Customer Bank Account","Tài khoản ngân hàng"
"Template Name","Tên mẫu"
"Template Category","Loại mẫu"
"Template File","File mẫu"
"Default Items","Hạng mục mặc định"
"Default Terms","Điều khoản mặc định"
"Version","Phiên bản"
"Template HTML","HTML mẫu"
"Placeholder Guide HTML","Hướng dẫn placeholder"
"Change Log","Nhật ký thay đổi"
"Reviewed By","Người duyệt"
"Reviewed Date","Ngày duyệt"
"Approved By","Người phê duyệt"
"Approved Date","Ngày phê duyệt"
"Needs Dev Mapping","Cần IT ánh xạ"
"Contract Template","Mẫu hợp đồng"
"Template Version","Phiên bản mẫu"
"Template Outdated","Mẫu đã cũ"
"Contract HTML Edited","HTML đã chỉnh sửa"
"Contract Document","Tài liệu hợp đồng"
"Version & Approval","Phiên bản & Phê duyệt"
"Submit for Review","Gửi duyệt"
"Approve","Phê duyệt"
"Reject","Từ chối"
"Archive","Lưu trữ"
"New Version","Phiên bản mới"
"Pending Review","Chờ duyệt"
"Approved","Đã duyệt"
"Archived","Đã lưu trữ"
"Contract Template Manager","Quản lý mẫu hợp đồng"
"Only Draft templates can be submitted for review","Chỉ mẫu Nháp mới có thể gửi duyệt"
"Only templates in Pending Review can be approved","Chỉ mẫu đang Chờ duyệt mới có thể phê duyệt"
"Only templates in Pending Review can be rejected","Chỉ mẫu đang Chờ duyệt mới có thể từ chối"
"Only Approved templates can be archived","Chỉ mẫu đã Duyệt mới có thể lưu trữ"
"Cannot change status from {0} to {1}","Không thể đổi trạng thái từ {0} sang {1}"
"Template has been updated. Click 'Re-apply Template' to use the latest version.","Mẫu đã được cập nhật. Nhấn 'Áp dụng mẫu' để sử dụng phiên bản mới nhất."
Contract Setup Fee,Phí Lắp Đặt Hợp Đồng
Contract Service,Dịch Vụ Hợp Đồng
